Date,Google,Facebook,Apple
2018-03-12,58.224998,184.759995,43.447464
2018-03-13,56.908501,181.880005,43.029034
2018-03-14,57.474499,184.190002,42.663239
2018-03-15,57.479,183.860001,42.713448
2018-03-16,56.786499,185.089996,42.562828
2018-03-19,54.991001,172.559998,41.912506
2018-03-20,54.885502,168.149994,41.898148
2018-03-21,54.543999,169.389999,40.948971
2018-03-22,52.453999,164.889999,40.370365
2018-03-23,51.078499,159.389999,39.435524
2018-03-26,52.6605,160.059998,41.307602
2018-03-27,50.255001,152.220001,40.248428
2018-03-28,50.228001,153.029999,39.803726
2018-03-29,51.5895,159.789993,40.11454
2018-04-02,50.323502,155.389999,39.851543
2018-04-03,50.670502,156.110001,40.260384
2018-04-04,51.257,155.100006,41.030254
2018-04-05,51.390499,159.339996,41.314781
2018-04-06,50.352001,157.199997,40.258003
2018-04-09,50.772499,157.929993,40.65728
2018-04-10,51.582001,165.039993,41.422363
2018-04-11,50.998501,166.320007,41.228691
2018-04-12,51.6255,163.869995,41.635162
2018-04-13,51.463501,164.520004,41.776215
2018-04-16,51.898998,164.830002,42.036831
2018-04-17,53.708,168.660004,42.615425
2018-04-18,53.604,166.360001,42.519798
2018-04-19,54.384998,168.100006,41.314781
2018-04-20,53.647999,166.279999,39.622013
2018-04-23,53.372501,165.839996,39.507252
2018-04-24,50.999001,159.690002,38.957348
2018-04-25,51.058998,159.690002,39.127102
2018-04-26,52.001999,174.160004,39.263374
2018-04-27,51.502499,173.589996,38.809109
2018-04-30,50.866501,172.0,39.512028
2018-05-01,51.865501,173.860001,40.430149
2018-05-02,51.219002,176.070007,42.216148
2018-05-03,51.186001,174.020004,42.292648
2018-05-04,52.4105,176.610001,43.951935
2018-05-07,52.739498,177.970001,44.269924
2018-05-08,52.695499,178.919998,44.482716
2018-05-09,54.138,182.660004,44.795929
2018-05-10,54.878502,185.529999,45.43668
2018-05-11,54.912998,186.990005,45.263878
2018-05-14,55.009998,186.639999,45.158264
2018-05-15,53.961498,184.320007,44.747852
2018-05-16,54.088501,183.199997,45.16547
2018-05-17,53.929501,183.759995,44.879852
2018-05-18,53.318001,182.679993,44.716652
2018-05-21,53.979,184.490005,45.03347
2018-05-22,53.4865,183.800003,44.920662
2018-05-23,53.984501,186.899994,45.208675
2018-05-24,53.962002,185.929993,45.158264
2018-05-25,53.783001,184.919998,45.261478
2018-05-29,53.015999,185.740005,45.098267
2018-05-30,53.389999,187.669998,45.002254
2018-05-31,54.2495,191.779999,44.851063
2018-06-01,55.974998,193.990005,45.659901
2018-06-04,56.9645,193.279999,46.041523
2018-06-05,56.983002,192.940002,46.396732
2018-06-06,56.844002,191.339996,46.557552
2018-06-07,56.193001,188.179993,46.432743
2018-06-08,56.043499,189.100006,46.010307
2018-06-11,56.4995,191.539993,45.897499
2018-06-12,56.966,192.399994,46.149521
2018-06-13,56.739498,192.410004,45.770294
2018-06-14,57.605999,196.809998,45.794308
2018-06-15,57.612999,195.850006,45.323875
2018-06-18,58.673,198.309998,45.29987
2018-06-19,58.403,197.490005,44.567837
2018-06-20,58.492001,202.0,44.762257
2018-06-21,57.882999,201.5,44.512646
2018-06-22,57.773998,201.740005,44.383034
2018-06-25,56.240501,196.350006,43.722996
2018-06-26,55.923,199.0,44.265427
2018-06-27,55.199001,195.839996,44.200626
2018-06-28,55.710999,196.229996,44.522236
2018-06-29,55.782501,194.320007,44.428642
2018-07-02,56.373001,197.360001,44.925457
2018-07-03,55.144501,192.729996,44.143028
2018-07-05,56.213501,198.449997,44.498241
2018-07-06,57.008499,203.229996,45.11507
2018-07-09,57.702499,204.740005,45.741505
2018-07-10,57.641998,203.539993,45.686298
2018-07-11,57.695,202.539993,45.093479
2018-07-12,59.174,206.919998,45.849495
2018-07-13,59.441002,207.320007,45.921505
2018-07-16,59.193001,207.229996,45.820713
2018-07-17,59.939999,209.990005,45.950314
2018-07-18,59.793999,209.360001,45.698299
2018-07-19,59.348,208.089996,46.053516
2018-07-20,59.245499,209.940002,45.947914
2018-07-23,60.275002,210.910004,45.988708
2018-07-24,62.403999,214.669998,46.322338
2018-07-25,63.185001,217.5,46.759155
2018-07-26,63.4165,176.259995,46.612747
2018-07-27,61.924999,174.889999,45.837505
2018-07-30,60.987,171.059998,45.580688
2018-07-31,60.862999,172.580002,45.671898
2018-08-01,61.0005,171.649994,48.362438
2018-08-02,61.307499,176.369995,49.776104
2018-08-03,61.185501,177.779999,49.920124
2018-08-06,61.238499,185.690002,50.179325
2018-08-07,62.111,183.809998,49.7089
2018-08-08,62.280499,185.179993,49.742489
2018-08-09,62.455002,183.089996,50.13372
2018-08-10,61.880501,180.259995,49.984398
2018-08-13,61.7505,180.050003,50.307137
2018-08-14,62.105,181.110001,50.519104
2018-08-15,60.719002,179.529999,50.637108
2018-08-16,60.324501,174.699997,51.378944
2018-08-17,60.048,173.800003,52.404972
2018-08-20,60.3885,172.5,51.894371
2018-08-21,60.081001,172.619995,51.793201
2018-08-22,60.366501,173.639999,51.795612
2018-08-23,60.269001,172.899994,51.901596
2018-08-24,61.032501,174.649994,52.062965
2018-08-27,62.091,177.460007,52.491695
2018-08-28,61.557499,176.259995,52.915588
2018-08-29,62.465,175.899994,53.705589
2018-08-30,61.956001,177.639999,54.199337
2018-08-31,60.9095,175.729996,54.825558
2018-09-04,59.849998,171.160004,55.001385
2018-09-05,59.324001,167.179993,54.642513
2018-09-06,58.571999,162.529999,53.734489
2018-09-07,58.241501,163.039993,53.300949
2018-09-10,58.231998,164.179993,52.585613
2018-09-11,58.868,165.940002,53.915127
2018-09-12,58.140999,162.0,53.245564
2018-09-13,58.766499,161.360001,54.531712
2018-09-14,58.626499,162.320007,53.91272
2018-09-17,57.802502,160.580002,52.47723
2018-09-18,58.061001,160.300003,52.563946
2018-09-19,58.554501,163.059998,52.595242
2018-09-20,59.343498,166.020004,52.995064
2018-09-21,58.304501,162.929993,52.424248
2018-09-24,58.668499,165.410004,53.178112
2018-09-25,59.232498,164.910004,53.515316
2018-09-26,59.024502,166.949997,53.089001
2018-09-27,59.731998,168.839996,54.180077
2018-09-28,59.6735,164.460007,54.370346
2018-10-01,59.765499,162.440002,54.736446
2018-10-02,60.005501,159.330002,55.222969
2018-10-03,60.147499,162.429993,55.894939
2018-10-04,58.4095,158.850006,54.912258
2018-10-05,57.8675,157.330002,54.021107
2018-10-08,57.448502,157.25,53.895859
2018-10-09,56.941002,157.899994,54.642513
2018-10-10,54.061001,151.380005,52.111137
2018-10-11,53.966,153.350006,51.6511
2018-10-12,55.504002,153.740005,53.496044
2018-10-15,54.612499,153.520004,52.35199
2018-10-16,56.063999,158.779999,53.505669
2018-10-17,55.7845,159.419998,53.274456
2018-10-18,54.398499,154.919998,52.029255
2018-10-19,54.823002,154.050003,52.821651
2018-10-22,55.057999,154.779999,53.144394
2018-10-23,55.184502,154.389999,53.645378
2018-10-24,52.5355,146.039993,51.805252
2018-10-25,54.7785,150.949997,52.939674
2018-10-26,53.573502,145.369995,52.096684
2018-10-29,51.004002,142.089996,51.11882
2018-10-30,51.810501,146.220001,51.374115
2018-10-31,53.838501,151.789993,52.713276
2018-11-01,53.5,151.75,53.522541
2018-11-02,52.8895,150.350006,49.972363
2018-11-05,52.004501,148.679993,48.55373
2018-11-06,52.790501,149.940002,49.078785
2018-11-07,54.669498,151.529999,50.567257
2018-11-08,54.119999,147.869995,50.390831
2018-11-09,53.307499,144.960007,49.419216
2018-11-12,51.931499,141.550003,46.929768
2018-11-13,51.802502,142.160004,46.460873
2018-11-14,52.182999,144.220001,45.148479
2018-11-15,53.2355,143.850006,46.262688
2018-11-16,53.074501,139.529999,46.77507
2018-11-19,51.0,131.550003,44.92128
2018-11-20,51.287998,132.429993,42.77504
2018-11-21,51.880501,134.820007,42.726696
2018-11-23,51.194,131.729996,41.641502
2018-11-26,52.431,136.380005,42.204647
2018-11-27,52.220501,135.0,42.112797
2018-11-28,54.311501,136.759995,43.732147
2018-11-29,54.415001,138.679993,43.396198
2018-11-30,54.7215,140.610001,43.161755
2018-12-03,55.321499,141.089996,44.669922
2018-12-04,52.541,137.929993,42.704945
2018-12-06,53.436501,139.630005,42.228813
2018-12-07,51.828999,137.419998,40.723057
2018-12-10,51.977501,141.850006,40.991341
2018-12-11,52.587502,142.080002,40.756897
2018-12-12,53.183998,144.5,40.870499
2018-12-13,53.095001,145.009995,41.317627
2018-12-14,52.105,144.059998,39.995556
2018-12-17,50.8265,140.190002,39.623348
2018-12-18,51.435501,143.660004,40.138157
2018-12-19,51.150501,133.240005,38.886181
2018-12-20,50.470501,133.399994,37.904907
2018-12-21,48.977001,124.949997,36.430573
2018-12-24,48.811001,124.059998,35.487961
2018-12-26,51.973,134.179993,37.987076
2018-12-27,52.194,134.520004,37.740551
2018-12-28,51.854,133.199997,37.759884
2018-12-31,51.780499,131.089996,38.12484
2019-01-02,52.2925,135.679993,38.16835
2019-01-03,50.803001,131.740005,34.366501
2019-01-04,53.5355,137.949997,35.83358
2019-01-07,53.419498,138.050003,35.753819
2019-01-08,53.813999,142.529999,36.435406
2019-01-09,53.733002,144.229996,37.054138
2019-01-10,53.516499,144.199997,37.172569
2019-01-11,52.859501,143.800003,36.807606
2019-01-14,52.234501,145.389999,36.254135
2019-01-15,53.857498,148.949997,36.996132
2019-01-16,54.0485,147.539993,37.448097
2019-01-17,54.494999,148.300003,37.67046
2019-01-18,54.912998,150.039993,37.902489
2019-01-22,53.526001,147.570007,37.05172
2019-01-23,53.7785,144.300003,37.201572
2019-01-24,53.695,145.830002,36.9067
2019-01-25,54.5495,149.009995,38.129677
2019-01-28,53.504002,147.470001,37.77681
2019-01-29,53.030998,144.190002,37.385262
2019-01-30,54.452999,150.419998,39.93996
2019-01-31,55.818501,166.690002,40.227577
2019-02-01,55.537498,165.710007,40.246922
2019-02-04,56.639999,169.25,41.390137
2019-02-05,57.2995,171.160004,42.098297
2019-02-06,55.761501,170.490005,42.112797
2019-02-07,54.935501,166.380005,41.315212
2019-02-08,54.752998,167.330002,41.363758
2019-02-11,54.7505,165.789993,41.125877
2019-02-12,56.068501,165.039993,41.48027
2019-02-13,56.007999,164.070007,41.307919
2019-02-14,56.0835,163.949997,41.458416
2019-02-15,55.682499,162.5,41.36618
2019-02-19,55.928001,162.289993,41.489971
2019-02-20,55.689999,162.559998,41.756973
2019-02-21,54.848499,160.039993,41.521534
2019-02-22,55.518501,161.889999,41.985153
2019-02-25,55.470001,164.619995,42.290985
2019-02-26,55.7565,164.130005,42.315262
2019-02-27,55.802502,162.809998,42.446335
2019-02-28,55.995998,161.449997,42.028843
2019-03-01,57.0495,162.279999,42.470608
2019-03-04,57.389999,167.369995,42.6842
2019-03-05,58.101501,171.259995,42.606537
2019-03-06,57.893002,172.509995,42.361382
2019-03-07,57.165001,169.130005,41.871067
2019-03-08,57.116001,169.600006,41.970581
2019-03-11,58.787998,172.070007,43.42453
2019-03-12,59.66,171.919998,43.912426
2019-03-13,59.666,173.369995,44.106613
2019-03-14,59.2775,170.169998,44.596931
2019-03-15,59.223,165.979996,45.177059
2019-03-18,59.213001,160.470001,45.638245
2019-03-19,59.942501,161.570007,45.276573
2019-03-20,61.198502,165.440002,45.672226
2019-03-21,61.577,166.080002,47.35434
2019-03-22,60.275002,164.339996,46.373718
2019-03-25,59.650002,166.289993,45.813007
2019-03-26,59.230999,167.679993,45.33968
2019-03-27,58.651001,165.869995,45.747478
2019-03-28,58.4245,165.550003,45.808155
2019-03-29,58.665501,166.690002,46.106716
2019-04-01,59.7215,168.699997,46.419838
2019-04-02,60.024502,174.199997,47.094627
2019-04-03,60.296001,173.539993,47.417465
2019-04-04,60.75,176.020004,47.499985
2019-04-05,60.357498,175.720001,47.817966
2019-04-08,60.192001,174.929993,48.570438
2019-04-09,59.862499,177.580002,48.424793
2019-04-10,60.108002,177.820007,48.696648
2019-04-11,60.230999,177.509995,48.29129
2019-04-12,60.893501,179.100006,48.271873
2019-04-15,61.055,179.649994,48.359257
2019-04-16,61.356499,178.869995,48.364113
2019-04-17,61.817001,178.779999,49.305908
2019-04-18,61.818501,178.279999,49.483097
2019-04-22,62.442001,181.440002,49.645721
2019-04-23,63.227501,183.779999,50.361782
2019-04-24,62.799999,182.580002,50.284096
2019-04-25,63.172501,193.259995,49.827774
2019-04-26,63.609001,191.490005,49.589905
2019-04-29,64.378998,194.779999,49.66515
2019-04-30,59.424,193.399994,48.708786
2019-05-01,58.403999,193.029999,51.099689
2019-05-02,58.130501,192.529999,50.767147
2019-05-03,59.27,195.470001,51.398251
2019-05-06,59.469501,193.880005,50.604515
2019-05-07,58.705002,189.770004,49.240372
2019-05-08,58.313499,189.539993,49.250072
2019-05-09,58.118999,188.649994,48.720928
2019-05-10,58.213501,188.339996,48.045975
2019-05-13,56.601501,181.539993,45.253563
2019-05-14,56.021999,180.729996,45.969952
2019-05-15,58.210499,186.270004,46.52063
2019-05-16,58.949001,186.990005,46.315948
2019-05-17,58.115002,185.300003,46.05278
2019-05-20,56.942501,182.720001,44.612724
2019-05-21,57.481499,184.820007,45.467991
2019-05-22,57.570999,185.320007,44.537186
2019-05-23,57.038502,180.869995,43.776955
2019-05-24,56.6735,181.059998,43.608822
2019-05-28,56.7075,184.309998,43.428501
2019-05-29,55.823002,182.190002,43.221401
2019-05-30,55.897499,183.009995,43.445564
2019-05-31,55.181499,177.470001,42.658531
2019-06-03,51.811501,164.149994,42.227238
2019-06-04,52.6525,167.5,43.772083
2019-06-05,52.111,168.169998,44.47871
2019-06-06,52.216999,168.330002,45.131737
2019-06-07,53.301998,173.350006,46.333008
2019-06-10,54.019001,174.820007,46.925106
2019-06-11,53.936001,178.100006,47.468483
2019-06-12,53.851501,175.039993,47.317413
2019-06-13,54.438499,177.470001,47.307663
2019-06-14,54.267502,181.330002,46.9641
2019-06-17,54.625,189.009995,47.244312
2019-06-18,55.18,188.470001,48.355423
2019-06-19,55.116501,187.479996,48.214104
2019-06-20,55.570999,189.529999,48.601528
2019-06-21,56.094002,191.139999,48.435829
2019-06-24,55.776001,192.600006,48.387104
2019-06-25,54.317501,188.839996,47.653675
2019-06-26,53.990002,187.660004,48.684376
2019-06-27,53.800499,189.5,48.669765
2019-06-28,54.045502,193.0,48.226276
2019-07-01,54.897499,193.0,49.110794
2019-07-02,55.5625,195.0,49.398312
2019-07-03,56.078999,197.199997,49.807674
2019-07-05,56.579498,196.399994,49.763817
2019-07-08,55.817501,195.759995,48.73798
2019-07-09,56.241501,199.210007,49.035252
2019-07-10,57.023998,202.729996,49.520149
2019-07-11,57.210499,201.229996,49.159527
2019-07-12,57.244999,204.869995,49.537201
2019-07-15,57.516998,203.910004,50.002605
2019-07-16,57.679001,203.839996,49.829597
2019-07-17,57.317501,201.800003,49.549389
2019-07-18,57.316502,200.779999,50.112255
2019-07-19,56.505001,198.360001,49.364201
2019-07-22,56.9035,202.320007,50.492382
2019-07-23,57.310501,202.360001,50.887115
2019-07-24,56.890499,204.660004,50.845684
2019-07-25,56.605999,200.710007,50.443645
