priceper,year,dateoftransfer,propertytype,duration,price,postcode,lad21cd,transactionid,id,tfarea,numberrooms,classt,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,CONSTRUCTION_AGE_BAND
5366.492147,2021,25/03/2021,D,F,1025000,GU25 4DF,E07000212,{CB0035E6-3A32-58AE-E053-6B04A8C091AF},12271007,191,7,11,50,73,England and Wales: 1930-1949
5028.462998,2021,12/02/2021,F,L,238500,GU25 4DG,E07000212,{C18F412B-58A5-81A6-E053-6B04A8C0AD18},12260722,47.43,NA,11,81,82,England and Wales: 2007 onwards
6794.117647,2021,17/12/2021,S,F,462000,GU25 4DQ,E07000212,{D93B27B1-603D-3100-E053-6C04A8C08887},12287348,68,3,11,63,87,England and Wales: 1991-1995
6062.5,2021,28/04/2021,T,F,388000,GU25 4DT,E07000212,{CB0035E6-3A3C-58AE-E053-6B04A8C091AF},12267510,64,3,11,73,90,England and Wales: 1983-1990
6666.666667,2021,08/12/2021,S,F,300000,GU25 4DT,E07000212,{E2D14906-0FCE-4C2D-E053-6B04A8C0422B},12259143,45,2,11,67,87,England and Wales: 1991-1995
4731.543624,2021,25/10/2021,D,F,705000,GU25 4EA,E07000212,{D22473F6-0AA4-7B40-E053-6C04A8C0A630},12287053,149,8,11,63,72,England and Wales: 1930-1949
7307.692308,2021,16/06/2021,D,F,950000,GU25 4EB,E07000212,{C8A3A576-A44A-0425-E053-6C04A8C0947B},12257247,130,4,11,75,84,England and Wales: 2003-2006
9633.027523,2021,18/11/2021,D,F,1050000,GU25 4EG,E07000212,{D707E535-F3A9-0AD9-E053-6B04A8C067CC},12288636,109,6,12,40,83,England and Wales: 1950-1966
5399.159664,2021,29/06/2021,D,F,1285000,GU25 4EJ,E07000212,{CFC9085D-1318-9A70-E053-6B04A8C09D6A},12258091,238,9,11,34,76,England and Wales: 1900-1929
5076.335878,2021,26/03/2021,S,F,665000,GU25 4EP,E07000212,{C6209F5F-D966-295E-E053-6C04A8C0DDCC},12267458,131,6,11,71,82,England and Wales: 1930-1949
6956.521739,2021,25/11/2021,D,F,800000,GU25 4EU,E07000212,{D4D42646-5C78-27F6-E053-6C04A8C0A572},12270058,115,5,11,47,74,England and Wales: 1967-1975
5300.75188,2021,28/06/2021,S,F,705000,GU25 4EW,E07000212,{D22473F6-0C75-7B40-E053-6C04A8C0A630},12280598,133,8,11,61,78,England and Wales: 1930-1949
3681.318681,2021,22/01/2021,S,F,670000,GU25 4EW,E07000212,{BEF7EBBF-4FEA-7A76-E053-6B04A8C092F7},12267954,182,8,11,68,77,England and Wales: 1900-1929
3626.373626,2021,30/07/2021,S,F,660000,GU25 4EX,E07000212,{D707E535-FC83-0AD9-E053-6B04A8C067CC},12273999,182,5,11,68,82,England and Wales: 1930-1949
5652.173913,2021,08/01/2021,S,F,520000,GU25 4EX,E07000212,{BEF7EBBF-52DB-7A76-E053-6B04A8C092F7},12273265,92,5,11,52,79,England and Wales: 1967-1975
8810.170199,2021,20/08/2021,T,F,675000,GU25 4EX,E07000212,{CD5A9DCC-595E-310A-E053-6C04A8C00A1F},12281299,76.616,5,11,50,68,England and Wales: 1950-1966
4912.280702,2021,15/06/2021,S,F,560000,GU25 4EX,E07000212,{CFC9085D-102D-9A70-E053-6B04A8C09D6A},12275812,114,5,11,64,83,England and Wales: 1950-1966
5252.293578,2021,12/02/2021,S,F,572500,GU25 4EZ,E07000212,{C3C3F9B6-4A63-362B-E053-6B04A8C03ACC},12261114,109,4,11,45,71,England and Wales: 1950-1966
6371.681416,2021,26/03/2021,S,F,720000,GU25 4HB,E07000212,{C6209F5F-D49F-295E-E053-6C04A8C0DDCC},12262634,113,6,12,66,82,England and Wales: 1950-1966
4931.034483,2021,22/04/2021,S,F,715000,GU25 4HB,E07000212,{CB0035E6-3673-58AE-E053-6B04A8C091AF},12284840,145,6,12,72,81,England and Wales: 1950-1966
3867.924528,2021,14/05/2021,S,F,615000,GU25 4HH,E07000212,{D93B27B1-616C-3100-E053-6C04A8C08887},12263071,159,7,11,64,78,England and Wales: 1900-1929
6327.868852,2021,08/12/2021,S,F,772000,GU25 4HP,E07000212,{DE2D0CE0-3022-51EE-E053-6C04A8C00671},12269697,122,6,11,68,83,England and Wales: 1991-1995
4162.679426,2021,19/03/2021,S,F,870000,GU25 4HS,E07000212,{D93B27B1-5C07-3100-E053-6C04A8C08887},12265419,209,8,12,68,85,England and Wales: 1950-1966
7236.842105,2021,11/10/2021,D,F,1100000,GU25 4HT,E07000212,{E073986B-BFDF-2134-E053-6C04A8C0233B},12278234,152,7,11,66,79,England and Wales: 1950-1966
5141.218005,2021,16/03/2021,D,F,1165000,GU25 4HU,E07000212,{C3C3F9B6-5013-362B-E053-6B04A8C03ACC},12266019,226.6,8,11,77,79,England and Wales: 2007 onwards
4222.972973,2021,26/03/2021,D,F,625000,GU25 4HU,E07000212,{E073986B-C001-2134-E053-6C04A8C0233B},12279285,148,8,11,55,81,England and Wales: 1950-1966
6084.070796,2021,09/09/2021,D,F,1375000,GU25 4HX,E07000212,{D4D42646-590D-27F6-E053-6C04A8C0A572},12264702,226,9,12,62,75,England and Wales: 1930-1949
4247.311828,2021,15/01/2021,D,F,1580000,GU25 4JA,E07000212,{BA558B33-138C-76EF-E053-6B04A8C0B4B7},12268103,372,11,12,82,86,INVALID!
5456.621005,2021,17/09/2021,D,F,1195000,GU25 4JA,E07000212,{D22473F6-0E75-7B40-E053-6C04A8C0A630},12287079,219,9,11,72,79,England and Wales: 1996-2002
5882.156863,2021,26/07/2021,D,F,1499950,GU25 4JB,E07000212,{D707E535-FA0C-0AD9-E053-6B04A8C067CC},12275954,255,9,12,74,81,England and Wales: 1950-1966
5044.247788,2021,30/06/2021,D,F,1710000,GU25 4JB,E07000212,{CB0035E6-3BC0-58AE-E053-6B04A8C091AF},12285595,339,11,12,75,79,England and Wales: 2007-2011
5970.464135,2021,22/04/2021,D,F,1415000,GU25 4JD,E07000212,{C8A3A576-A33A-0425-E053-6C04A8C0947B},12274454,237,8,12,76,80,England and Wales: 2003-2006
5645.16129,2021,15/03/2021,D,F,1050000,GU25 4JD,E07000212,{C3C3F9B6-512A-362B-E053-6B04A8C03ACC},12284976,186,10,11,48,73,England and Wales: 1950-1966
4469.215903,2021,27/10/2021,D,F,1295000,GU25 4JD,E07000212,{DBA933FA-0451-669D-E053-6B04A8C0AD56},12268457,289.76,8,11,55,66,England and Wales: 1950-1966
5691.056911,2021,10/09/2021,D,F,700000,GU25 4JF,E07000212,{CD5A9DCC-560E-310A-E053-6C04A8C00A1F},12263068,123,5,11,64,81,England and Wales: 1950-1966
5052.055989,2021,30/04/2021,D,F,1020000,GU25 4JH,E07000212,{CB0035E6-38EC-58AE-E053-6B04A8C091AF},12271920,201.898,9,11,63,75,England and Wales: 1976-1982
11049.86523,2021,16/12/2021,D,F,16398000,GU25 4JR,E07000212,{D707E535-FD14-0AD9-E053-6B04A8C067CC},12273184,1484,NA,12,83,83,NO DATA!
12356.06732,2021,30/09/2021,D,F,13950000,GU25 4JT,E07000212,{D93B27B1-5C83-3100-E053-6C04A8C08887},12269834,1129,NA,12,87,88,NO DATA!
9140.435835,2021,25/02/2021,D,F,3775000,GU25 4JY,E07000212,{C3C3F9B6-4C4C-362B-E053-6B04A8C03ACC},12280546,413,9,12,54,69,England and Wales: 1900-1929
5667.870036,2021,03/03/2021,D,F,1570000,GU25 4LD,E07000212,{C3C3F9B6-4CC2-362B-E053-6B04A8C03ACC},12280060,277,NA,12,76,76,NO DATA!
5636.363636,2021,21/05/2021,F,L,372000,GU25 4LT,E07000212,{CD5A9DCC-5983-310A-E053-6C04A8C00A1F},12268495,66,3,11,54,62,England and Wales: 1983-1990
12476.54784,2021,15/09/2021,D,F,6650000,GU25 4NE,E07000212,{DBA933F9-FE4C-669D-E053-6B04A8C0AD56},12259176,533,11,12,62,73,England and Wales: 1900-1929
19775.2809,2021,22/12/2021,D,F,8800000,GU25 4NQ,E07000212,{DBA933FA-0094-669D-E053-6B04A8C0AD56},12272275,445,12,11,70,77,England and Wales: 1930-1949
6837.039496,2021,16/04/2021,D,F,1030000,GU25 4NW,E07000212,{C3C3F9B6-4C80-362B-E053-6B04A8C03ACC},12277064,150.65,7,11,42,58,England and Wales: 1950-1966
7169.117647,2021,22/03/2021,S,F,975000,GU25 4NW,E07000212,{C8A3A576-9F45-0425-E053-6C04A8C0947B},12282967,136,5,11,48,78,England and Wales: before 1900
7319.81982,2021,02/02/2021,D,F,6500000,GU25 4PH,E07000212,{D707E535-F38F-0AD9-E053-6B04A8C067CC},12265848,888,14,11,74,76,England and Wales: 2007 onwards
5794.701987,2021,19/11/2021,D,F,2625000,GU25 4PJ,E07000212,{E073986B-C2B7-2134-E053-6C04A8C0233B},12263745,453,10,11,61,70,England and Wales: 1930-1949
6110.520723,2021,11/10/2021,D,F,5750000,GU25 4PL,E07000212,{D707E535-FB5C-0AD9-E053-6B04A8C067CC},12262832,941,12,11,76,79,England and Wales: 2007 onwards
6059.160305,2021,27/05/2021,D,F,3175000,GU25 4PN,E07000212,{CD5A9DCC-558F-310A-E053-6C04A8C00A1F},12258945,524,13,12,78,81,England and Wales: 2007 onwards
