,datetime,duration,title,genres,release_date,movie_id,user_id
48,2017-01-01 20:21:15,1361.0,Safe,"Action, Crime, Thriller",2012-04-27,5035319a63,18c10ac8e5
49,2017-01-01 22:42:40,2402028.0,The Choice,"Drama, Romance",2016-02-05,9da0474748,8fac681d9f
50,2017-01-01 23:17:01,56977.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,456ffa0e1e
51,2017-01-01 00:53:46,36155.0,Django Unchained,"Drama, Western",2012-12-25,0d528cc045,486a57961f
52,2017-01-01 01:41:52,50475.0,The Choice,"Drama, Romance",2016-02-05,9da0474748,b32652b1e8
53,2017-01-01 10:18:05,32038.0,Maximum Ride,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Thriller",2016-08-30,fff9fbe077,8a757371a2
54,2017-01-01 10:31:42,1129.0,Django Unchained,"Drama, Western",2012-12-25,0d528cc045,29435cd57d
55,2017-01-01 12:47:30,543.0,Hunting Britain's Most Wanted,NOT AVAILABLE,NOT AVAILABLE,be096a4a5a,3cf91dd97e
56,2017-01-01 12:54:57,10957.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,4bcc977c63
57,2017-01-01 15:10:44,5023.0,Into the Inferno,Documentary,2016-10-28,f2285bd5d1,7b60c0e82f
58,2017-01-01 18:52:44,58784.0,Ratchet and Clank,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",2016-04-29,b264b980a6,ac30a85c52
59,2017-01-01 19:03:10,10933.0,Twilight,"Drama, Fantasy, Romance",2008-11-21,40bccd3001,544dcbc510
60,2017-01-01 20:50:49,435812.0,45 Years,"Drama, Romance",2015-08-28,45e1e030fb,1794ec0ab9
61,2017-01-01 05:31:47,6474.0,The Interview,"Action, Adventure, Comedy",2014-12-24,2d01b1371c,692e4b9cce
62,2017-01-01 14:46:52,1199.0,The Jihadis Next Door,Documentary,2016-01-19,01230408ce,cdb63c2b55
63,2017-01-01 15:37:38,6902.0,Sour Grapes,Documentary,2016-09-16,2d6b1ab7d6,ec498bb9e6
64,2017-01-01 17:16:47,8817.0,Fury,"Action, Drama, War",2014-10-17,3d60fbd028,f1b9913564
65,2017-01-01 18:48:26,323.0,Erased,"Action, Thriller",2012-09-26,6f13eab90c,3195ebddb2
66,2017-01-01 21:30:09,1095.0,Wild Card,"Action, Crime, Drama, Thriller",2015-01-14,5b9611ce98,38d9af74ac
67,2017-01-01 22:00:08,684919.0,The African Doctor,"Biography, Comedy, Drama",2016-06-08,af8020a1f4,482c22d704
68,2017-01-01 16:07:34,3443.0,The Woman in Black: Angels of Death,"Drama, Horror, Thriller",2015-01-02,18545ebd1f,4bcc977c63
69,2017-01-01 19:11:18,6080.0,Anger Management,Comedy,2003-04-11,7ef540d7d1,e04156b72c
70,2017-01-01 20:44:21,920.0,Annie,"Comedy, Drama, Family, Musical",2014-12-19,c4d5226efa,18c10ac8e5
71,2017-01-01 21:48:24,1267.0,Wild Card,"Action, Crime, Drama, Thriller",2015-01-14,5b9611ce98,38d9af74ac
72,2017-01-01 22:24:57,74962.0,Minimalism: A Documentary About the Important Things,Documentary,NOT AVAILABLE,4d5756f511,e1a8485e15
73,2017-01-01 00:02:21,949.0,Gnomeo and Juliet,"Animation, Adventure, Comedy, Family, Romance",2011-02-11,71c8779809,1daab4d5ce
74,2017-01-01 02:02:00,80398.0,Septembers of Shiraz,Thriller,2016-06-24,9752a55c30,21bbedc06d
75,2017-01-01 16:34:27,11749.0,009 RE:Cyborg,"Animation, Action, Sci-Fi",2012-10-27,7e0becd714,7b60c0e82f
76,2017-01-01 16:47:42,6580.0,Escape from Alcatraz,"Action, Biography, Crime, Drama, Thriller",1979-06-22,6527868d5c,ebf43c36b6
77,2017-01-01 16:51:38,430907.0,The SpongeBob SquarePants Movie,"Animation, Action, Adventure, Comedy, Family, Fantasy",2004-11-19,a80d6fc2aa,130ddfe1fd
78,2017-01-01 17:15:01,21348.0,Jack Ryan: Shadow Recruit,"Action, Drama, Thriller",2014-01-17,893b098d8e,a95af8c02e
79,2017-01-01 17:45:00,6305.0,Septembers of Shiraz,Thriller,2016-06-24,9752a55c30,7c1d05e1f1
80,2017-01-01 17:57:55,9821.0,Total Recall,"Action, Adventure, Mystery, Sci-Fi, Thriller",2012-08-03,33f77e38c6,1e3b3ccb0c
81,2017-01-01 18:03:19,13399.0,Picture This,"Comedy, Drama, Romance",2008-07-13,c13f7eb8d1,b32652b1e8
82,2017-01-01 18:48:13,9674.0,Ghost,"Drama, Fantasy, Romance, Thriller",1990-07-13,a0ffa05a94,9161eb4f59
83,2017-01-01 21:21:37,14770.0,Kal Ho Naa Ho,"Comedy, Drama, Romance",2003-11-28,9820c30c67,84c669aae3
84,2017-01-01 04:26:20,839.0,The Road to El Dorado,"Animation, Adventure, Comedy, Family, Romance",2000-03-31,f91954e1ed,f89c7e024e
85,2017-01-01 07:40:37,3902.0,White Chicks,"Comedy, Crime",2004-06-23,b41a4ab247,177868f4f8
86,2017-01-01 15:35:37,6183.0,X-Men,"Action, Adventure, Sci-Fi",2000-07-14,0bed687a66,5dc38bcfdd
87,2017-01-01 16:00:31,169941.0,The Manchurian Candidate,"Drama, Mystery, Sci-Fi, Thriller",2004-07-30,81889884fd,0823fa7f47
88,2017-01-01 16:59:03,1658.0,No Country for Old Men,"Crime, Drama, Thriller",2007-11-21,d2b25e1c92,d9ba8b2e27
89,2017-01-01 17:17:38,4968.0,Angels Sing,"Comedy, Drama, Family",2013-03-10,7bfc20655a,9284850d21
90,2017-01-01 17:19:17,6151.0,Over the Hedge,"Animation, Adventure, Comedy, Family, Fantasy",2006-05-19,b845cd10ea,4d121f30e2
91,2017-01-01 17:23:43,6000.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,8599659bae
92,2017-01-01 18:09:17,600.0,Floyd Norman: An Animated Life,"Documentary, Biography",2016-08-26,2009bf7219,3ebc10be7f
93,2017-01-01 18:54:22,2894.0,Harlock: Space Pirate,"Animation, Adventure, Sci-Fi",2014-08-01,3488ae491d,3195ebddb2
94,2017-01-01 19:41:56,83453.0,The Hundred-Foot Journey,"Comedy, Drama",2014-08-08,68e835ab49,e29c49bc24
95,2017-01-01 20:41:36,1800.0,London Has Fallen,"Action, Thriller",2016-03-04,f77e500e7a,1e3b3ccb0c
96,2017-01-01 21:01:24,2751.0,Brooklyn,"Drama, Romance",2015-11-25,d82fa814d0,c5e12cc2e0
97,2017-01-01 22:14:15,1700.0,Criminal,"Action, Sci-Fi, Thriller",2016-04-15,567629ee78,f8b8b88b96
98,2017-01-01 00:18:38,2467.0,Zookeeper,"Comedy, Family, Fantasy, Romance",2011-07-08,8762763a6b,1daab4d5ce
99,2017-01-01 08:47:07,647.0,Rumble in the Bronx,"Action, Comedy, Crime, Thriller",1996-02-23,da590d1eca,cc5ecf4eb6
100,2017-01-01 15:13:19,83802.0,Chalet Girl,"Comedy, Romance, Sport",2011-10-14,b8a2658c23,114dce7f24
101,2017-01-01 19:30:08,5482.0,American Heist,"Action, Crime, Drama, Thriller",2015-07-24,adf1f45a1c,7c1d05e1f1
102,2017-01-01 20:57:48,6020.0,Imagine That,"Comedy, Drama, Family, Fantasy",2009-06-12,8b5771257d,e04156b72c
103,2017-01-01 21:27:34,5090.0,Green Room,"Horror, Music, Thriller",2016-05-13,43bb6de314,e782854ba4
104,2017-01-01 21:32:22,4942.0,The DUFF,"Comedy, Romance",2015-02-20,cca7749d82,c6f7030048
105,2017-01-01 08:45:57,12598.0,White Chicks,"Comedy, Crime",2004-06-23,b41a4ab247,177868f4f8
106,2017-01-01 14:26:23,1873.0,Zeitgeist: The Movie,"Documentary, History",2007-06-01,a7d46acfb8,0b424868ca
107,2017-01-01 18:30:43,78632.0,Total Recall,"Action, Adventure, Mystery, Sci-Fi, Thriller",2012-08-03,33f77e38c6,e9687888b7
108,2017-01-01 21:01:30,415298.0,Wrong Side of Town,"Action, Crime, Thriller",2010-02-23,18eebd0dc6,7c1d05e1f1
109,2017-01-01 22:05:23,7712.0,The Twilight Saga: New Moon,"Adventure, Drama, Fantasy, Romance",2009-11-20,5d495dbf00,544dcbc510
110,2017-01-01 00:19:34,5922.0,Redemption,"Action, Drama",2013-06-28,7b1cd10478,abcef86035
111,2017-01-01 20:24:32,81748.0,Drop Dead Fred,"Comedy, Drama, Fantasy",1991-05-24,db7c465c96,e69cbc8dd5
112,2017-01-01 01:00:21,41849.0,Zookeeper,"Comedy, Family, Fantasy, Romance",2011-07-08,8762763a6b,1daab4d5ce
113,2017-01-01 06:58:46,2390401.0,Zoolander: Super Model,"Animation, Comedy, Sci-Fi",2016-08-01,f0114f0617,468960a1f7
114,2017-01-01 12:43:09,1004.0,Falcon Rising,"Action, Adventure, Crime, Thriller",2014-11-27,d52803833b,3195ebddb2
115,2017-01-01 15:17:47,11026.0,The Fundamentals of Caring,"Comedy, Drama",2016-06-24,93cacc361c,a4e82c4388
116,2017-01-01 17:31:13,59904.0,Shooter,"Action, Drama, Thriller",2007-03-23,60000b92c6,d9ba8b2e27
117,2017-01-01 21:11:20,162070.0,Misconduct,"Crime, Drama, Mystery, Thriller",2016-02-05,715d1a6e21,777bcda913
118,2017-01-01 21:52:25,9209.0,Fury,"Action, Drama, War",2014-10-17,3d60fbd028,c5e12cc2e0
