time,close
3/18/2022 16:00,128.74
3/18/2022 15:59,128.815
3/18/2022 15:58,128.82
3/18/2022 15:57,128.83
3/18/2022 15:56,128.81
3/18/2022 15:55,128.65
3/18/2022 15:54,128.57
3/18/2022 15:53,128.56
3/18/2022 15:52,128.56
3/18/2022 15:51,128.58
3/18/2022 15:50,128.75
3/18/2022 15:49,128.83
3/18/2022 15:48,128.78
3/18/2022 15:47,128.73
3/18/2022 15:46,128.67
3/18/2022 15:45,128.7
3/18/2022 15:44,128.69
3/18/2022 15:43,128.64
3/18/2022 15:42,128.65
3/18/2022 15:41,128.55
3/18/2022 15:40,128.5986
3/18/2022 15:39,128.6
3/18/2022 15:38,128.59
3/18/2022 15:37,128.631
3/18/2022 15:36,128.66
3/18/2022 15:35,128.7
3/18/2022 15:34,128.68
3/18/2022 15:33,128.6685
3/18/2022 15:32,128.62
3/18/2022 15:31,128.62
3/18/2022 15:30,128.635
3/18/2022 15:29,128.63
3/18/2022 15:28,128.66
3/18/2022 15:27,128.585
3/18/2022 15:26,128.63
3/18/2022 15:25,128.565
3/18/2022 15:24,128.545
3/18/2022 15:23,128.48
3/18/2022 15:22,128.51
3/18/2022 15:21,128.47
3/18/2022 15:20,128.4601
3/18/2022 15:19,128.36
3/18/2022 15:18,128.33
3/18/2022 15:17,128.42
3/18/2022 15:16,128.405
3/18/2022 15:15,128.41
3/18/2022 15:14,128.36
3/18/2022 15:13,128.34
3/18/2022 15:12,128.35
3/18/2022 15:11,128.3601
3/18/2022 15:10,128.27
3/18/2022 15:09,128.325
3/18/2022 15:08,128.36
3/18/2022 15:07,128.38
3/18/2022 15:06,128.39
3/18/2022 15:05,128.382
3/18/2022 15:04,128.375
3/18/2022 15:03,128.29
3/18/2022 15:02,128.26
3/18/2022 15:01,128.18
3/18/2022 15:00,128.2
3/18/2022 14:59,128.195
3/18/2022 14:58,128.17
3/18/2022 14:57,128.21
3/18/2022 14:56,128.19
3/18/2022 14:55,128.21
3/18/2022 14:54,128.22
3/18/2022 14:53,128.2
3/18/2022 14:52,128.14
3/18/2022 14:51,128.145
3/18/2022 14:50,128.09
3/18/2022 14:49,128.075
3/18/2022 14:48,128.1
3/18/2022 14:47,128.14
3/18/2022 14:46,128.13
3/18/2022 14:45,128.0942
3/18/2022 14:44,128.12
3/18/2022 14:43,128.11
3/18/2022 14:42,128.17
3/18/2022 14:41,128.26
3/18/2022 14:40,128.225
3/18/2022 14:39,128.35
3/18/2022 14:38,128.25
3/18/2022 14:37,128.17
3/18/2022 14:36,128.0767
3/18/2022 14:35,128
3/18/2022 14:34,127.98
3/18/2022 14:33,127.96
3/18/2022 14:32,127.93
3/18/2022 14:31,127.98
3/18/2022 14:30,128.04
3/18/2022 14:29,128.02
3/18/2022 14:28,127.95
3/18/2022 14:27,127.95
3/18/2022 14:26,128
3/18/2022 14:25,128.0473
3/18/2022 14:24,127.95
3/18/2022 14:23,127.9416
3/18/2022 14:22,127.91
3/18/2022 14:21,127.87
3/18/2022 14:20,127.86
3/18/2022 14:19,127.885
3/18/2022 14:18,127.9
3/18/2022 14:17,127.89
3/18/2022 14:16,127.72
3/18/2022 14:15,127.7029
3/18/2022 14:14,127.6172
3/18/2022 14:13,127.67
3/18/2022 14:12,127.685
3/18/2022 14:11,127.65
3/18/2022 14:10,127.5777
3/18/2022 14:09,127.5506
3/18/2022 14:08,127.53
3/18/2022 14:07,127.43
3/18/2022 14:06,127.46
3/18/2022 14:05,127.45
3/18/2022 14:04,127.55
3/18/2022 14:03,127.52
3/18/2022 14:02,127.485
3/18/2022 14:01,127.465
3/18/2022 14:00,127.48
3/18/2022 13:59,127.435
3/18/2022 13:58,127.435
3/18/2022 13:57,127.4162
3/18/2022 13:56,127.46
3/18/2022 13:55,127.45
3/18/2022 13:54,127.51
3/18/2022 13:53,127.54
3/18/2022 13:52,127.57
3/18/2022 13:51,127.59
3/18/2022 13:50,127.619
3/18/2022 13:49,127.63
3/18/2022 13:48,127.665
3/18/2022 13:47,127.6999
3/18/2022 13:46,127.62
3/18/2022 13:45,127.63
3/18/2022 13:44,127.645
3/18/2022 13:43,127.6862
3/18/2022 13:42,127.71
3/18/2022 13:41,127.75
3/18/2022 13:40,127.8
3/18/2022 13:39,127.76
3/18/2022 13:38,127.83
3/18/2022 13:37,127.83
3/18/2022 13:36,127.85
3/18/2022 13:35,127.91
3/18/2022 13:34,127.875
3/18/2022 13:33,127.7
3/18/2022 13:32,127.851
3/18/2022 13:31,127.955
3/18/2022 13:30,127.954
3/18/2022 13:29,127.95
3/18/2022 13:28,127.92
3/18/2022 13:27,127.91
3/18/2022 13:26,128.02
3/18/2022 13:25,127.9729
3/18/2022 13:24,127.91
3/18/2022 13:23,127.88
3/18/2022 13:22,127.84
3/18/2022 13:21,127.865
3/18/2022 13:20,127.83
3/18/2022 13:19,127.83
3/18/2022 13:18,127.86
3/18/2022 13:17,127.8
3/18/2022 13:16,127.7442
3/18/2022 13:15,127.79
3/18/2022 13:14,127.765
3/18/2022 13:13,127.8036
3/18/2022 13:12,127.79
3/18/2022 13:11,127.78
3/18/2022 13:10,127.75
3/18/2022 13:09,127.795
3/18/2022 13:08,127.7199
3/18/2022 13:07,127.6633
3/18/2022 13:06,127.54
3/18/2022 13:05,127.56
3/18/2022 13:04,127.5713
3/18/2022 13:03,127.6
3/18/2022 13:02,127.5782
3/18/2022 13:01,127.54
3/18/2022 13:00,127.505
3/18/2022 12:59,127.54
3/18/2022 12:58,127.515
3/18/2022 12:57,127.55
3/18/2022 12:56,127.55
3/18/2022 12:55,127.53
3/18/2022 12:54,127.56
3/18/2022 12:53,127.55
3/18/2022 12:52,127.4963
3/18/2022 12:51,127.5356
3/18/2022 12:50,127.53
3/18/2022 12:49,127.5
