Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62df9b633ab85e462c0435fc,5f0f7fe1d7ad1c000b42d091,APPROVED,2022-07-26T07:44:37.348000Z,2022-07-26T07:49:33.599000Z,2022-07-27T12:55:21.189000Z,,297,MBIMZO1R,1042,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62df9b663f5fa00563111d57,57ea425e5b88f5000106bb9f,APPROVED,2022-07-26T07:44:43.634000Z,2022-07-26T07:50:04.309000Z,2022-07-27T12:55:22.884000Z,,321,MBIMZO1R,1949,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62df9b67139fb69f37345fa4,5ef7783026861249d8eb58ef,APPROVED,2022-07-26T07:44:39.657000Z,2022-07-26T07:56:43.673000Z,2022-07-27T12:55:21.389000Z,,725,MBIMZO1R,1125,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b67e1ba268258876ba7,5d1a69d8f97a18001977e0d7,APPROVED,2022-07-26T07:46:12.137000Z,2022-07-26T07:54:09.600000Z,2022-07-27T11:22:22.252000Z,,478,MBIMZO1R,2483,46,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b67e9a1695477428bae,5ca627de976e9f0014674a69,APPROVED,2022-07-26T07:44:42.877000Z,2022-07-26T08:11:28.615000Z,2022-07-27T12:55:21.788000Z,,1606,MBIMZO1R,1355,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b683834c818112287a6,5fb25a7e5960a87fb627c12b,APPROVED,2022-07-26T07:44:44.323000Z,2022-07-26T07:53:16.107000Z,2022-07-27T12:55:23.065000Z,,512,MBIMZO1R,1057,76,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b69ed1c4a3b960baf4e,614da66d7f267237bf6d05e6,APPROVED,2022-07-26T07:44:45.331000Z,2022-07-26T07:55:59.069000Z,2022-07-27T12:55:23.418000Z,,674,MBIMZO1R,865,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6a2b61376555c444e0,6107247967dedd82e06c6f27,APPROVED,2022-07-26T07:45:07.048000Z,2022-07-26T08:00:06.734000Z,2022-07-27T11:22:22.839000Z,,900,MBIMZO1R,732,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62df9b6a8701331e62c50e82,581ccd016c73180001fa5b2a,APPROVED,2022-07-26T07:44:42.519000Z,2022-07-26T07:59:02.460000Z,2022-07-27T12:55:21.593000Z,,860,MBIMZO1R,3810,44,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
62df9b6b43f83c62bb0ed22a,5eea5e9ee0d561140ff250a1,APPROVED,2022-07-26T07:44:45.876000Z,2022-07-26T08:23:23.543000Z,2022-07-27T12:55:23.235000Z,,2318,MBIMZO1R,1859,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
62df9b6be3c2d14ead09bc46,6235af56808f1fc2e7b57c6a,APPROVED,2022-07-26T07:52:17.810000Z,2022-07-26T07:59:33.082000Z,2022-07-27T11:22:21.779000Z,,436,MBIMZO1R,273,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62df9b6c63a5086b52cb3fc3,5d837955f1038a001f8d4ed6,APPROVED,2022-07-26T07:45:43.123000Z,2022-07-26T07:51:23.281000Z,2022-07-27T11:22:22.551000Z,,341,MBIMZO1R,1137,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6c8096dd11d0cb3fb8,5d0245966e208b0017301561,APPROVED,2022-07-26T07:44:48.911000Z,2022-07-26T07:49:53.631000Z,2022-07-27T11:21:41.393000Z,,305,MBIMZO1R,645,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
62df9b6c8d2c6490da0b7c7f,5e7fa0e918b10804bb87eb63,APPROVED,2022-07-26T07:44:48.791000Z,2022-07-26T07:50:41.410000Z,2022-07-27T12:55:41.629000Z,,353,MBIMZO1R,1571,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62df9b6cd1f06ee4b89853b0,5efde724d80f81077c0800b9,APPROVED,2022-07-26T07:44:46.660000Z,2022-07-26T08:00:06.963000Z,2022-07-27T11:21:41.787000Z,,921,MBIMZO1R,1622,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
