CCA3,Country/Territory,Continent,2020 Population,1970 Population,Area (kmsq),Density (per kmsq)
MCO,Monaco,Europe,36922,24270,2,18234.5
MNG,Mongolia,Asia,3294335,1293880,1564110,2.1727
MNE,Montenegro,Europe,629048,530268,13812,45.4012
MSR,Montserrat,North America,4500,11402,102,43.0392
MAR,Morocco,Africa,36688772,15274351,446550,83.883
MOZ,Mozambique,Africa,31178239,8411676,801590,41.1302
MMR,Myanmar,Asia,53423198,27284112,676578,80.0784
NAM,Namibia,Africa,2489098,754467,825615,3.1092
NRU,Nauru,Oceania,12315,6663,21,603.2381
NPL,Nepal,Asia,29348627,12501285,147181,207.5511
NLD,Netherlands,Europe,17434557,13037686,41850,419.6897
NCL,New Caledonia,Oceania,286403,110982,18575,15.6097
NZL,New Zealand,Oceania,5061133,2824061,270467,19.1716
NIC,Nicaragua,North America,6755895,2444767,130373,53.2962
NER,Niger,Africa,24333639,4669708,1267000,20.6851
NGA,Nigeria,Africa,208327405,55569264,923768,236.5759
NIU,Niue,Oceania,1942,5185,260,7.4385
PRK,North Korea,Asia,25867467,14996879,120538,216.2755
MKD,North Macedonia,Europe,2111072,1656783,25713,81.4218
NFK,Northern Mariana Islands,Oceania,49587,10143,464,106.7909
NOR,Norway,Europe,5379839,3875546,323802,16.7828
OMN,Oman,Asia,4543399,670693,309500,14.7861
PAK,Pakistan,Asia,227196741,59290872,881912,267.4018
PLW,Palau,Oceania,17972,11366,459,39.3355
PSE,Palestine,Asia,5019401,1118241,6220,844.063
PAN,Panama,North America,4294396,1516188,75417,58.4561
PNG,Papua New Guinea,Oceania,9749640,2489059,462840,21.9139
PRY,Paraguay,South America,6618695,2408787,406752,16.6705
PER,Peru,South America,33304756,13562371,1285216,26.4933
PHL,Philippines,Asia,112190977,37435586,342353,337.5434
POL,Poland,Europe,38428366,32482943,312679,127.4698
PRT,Portugal,Europe,10298192,8683631,92090,111.5307
PRI,Puerto Rico,North America,3271564,2737619,8870,366.675
QAT,Qatar,Asia,2760385,118007,11586,232.6189
COG,Republic of the Congo,Africa,5702174,1396989,342000,17.4574
REU,Reunion,Africa,957822,473925,2511,387.914
ROU,Romania,Europe,19442038,19922618,238391,82.4665
RUS,Russia,Europe,145617329,130093010,17098242,8.4636
RWA,Rwanda,Africa,13146362,3896367,26338,523.0731
BLM,Saint Barthelemy,North America,10681,2417,21,522.2381
KNA,Saint Kitts and Nevis,North America,47642,44968,261,182.5939
LCA,Saint Lucia,North America,179237,103090,616,291.9756
MAF,Saint Martin,North America,32552,5802,53,599.8302
SPM,Saint Pierre and Miquelon,North America,5906,5537,242,24.2231
VCT,Saint Vincent and the Grenadines,North America,104632,98459,389,267.2185
WSM,Samoa,Oceania,214929,142771,2842,78.2484
SMR,San Marino,Europe,34007,18169,61,551.8033
STP,Sao Tome and Principe,Africa,218641,77583,964,235.8714
SAU,Saudi Arabia,Asia,35997107,6106191,2149690,16.9368
SEN,Senegal,Africa,16436119,4367744,196722,88.025
SRB,Serbia,Europe,7358005,7193533,88361,81.7257
SYC,Seychelles,Africa,105530,54379,452,236.9867
SLE,Sierra Leone,Africa,8233969,2778557,71740,119.957
SGP,Singapore,Asia,5909869,2061831,710,8416.4634
SXM,Sint Maarten,North America,43621,6260,34,1299.2647
SVK,Slovakia,Europe,5456681,4522867,49037,115.0856
SVN,Slovenia,Europe,2117641,1741286,20273,104.5649
SLB,Solomon Islands,Oceania,691191,172833,28896,25.0648
SOM,Somalia,Africa,16537016,3720977,637657,27.5971
ZAF,South Africa,Africa,58801927,22368306,1221037,49.0517
KOR,South Korea,Asia,51844690,32601143,100210,517.0722
SSD,South Sudan,Africa,10606227,3342410,619745,17.6091
ESP,Spain,Europe,47363807,33792617,505992,93.9909
LKA,Sri Lanka,Asia,21715079,12388769,65610,332.7563
SDN,Sudan,Africa,44440486,11305206,1886068,24.8529
SUR,Suriname,South America,607065,379918,163820,3.7727
SWE,Sweden,Europe,10368969,8027702,450295,23.4276
CHE,Switzerland,Europe,8638613,6181227,41284,211.7157
SYR,Syria,Asia,20772595,6319199,185180,119.4797
TWN,Taiwan,Asia,23821464,14957870,36193,660.1662
TJK,Tajikistan,Asia,9543207,2993019,143100,69.5513
TZA,Tanzania,Africa,61704518,13618192,945087,69.3034
THA,Thailand,Asia,71475664,35791728,513120,139.7276
TLS,Timor-Leste,Asia,1299995,554021,14874,90.1772
TGO,Togo,Africa,8442580,2197383,56785,155.8281
TKL,Tokelau,Oceania,1827,1714,12,155.9167
TON,Tonga,Oceania,105254,86484,747,143.0495
TTO,Trinidad and Tobago,North America,1518147,988890,5130,298.4491
TUN,Tunisia,Africa,12161723,5047404,163610,75.5218
TUR,Turkey,Asia,84135428,35540990,783562,108.9145
TKM,Turkmenistan,Asia,6250438,2201432,488100,13.1751
TCA,Turks and Caicos Islands,North America,44276,5665,948,48.2099
TUV,Tuvalu,Oceania,11069,5814,26,435.0769
UGA,Uganda,Africa,44404611,10317212,241550,195.61
UKR,Ukraine,Europe,43909666,47279086,603500,65.7858
ARE,United Arab Emirates,Asia,9287289,298084,83600,112.9322
GBR,United Kingdom,Europe,67059474,55650166,242900,277.9289
USA,United States,North America,335942003,200328340,9372610,36.0935
VIR,United States Virgin Islands,North America,100442,63446,347,286.6427
URY,Uruguay,South America,3429086,2790265,181034,18.9069
UZB,Uzbekistan,Asia,33526656,12011361,447400,77.3975
VUT,Vanuatu,Oceania,311685,87019,12189,26.8061
VAT,Vatican City,Europe,520,752,1,510
VEN,Venezuela,South America,28490453,11355475,916445,30.882
VNM,Vietnam,Asia,96648685,41928849,331212,296.4472
WLF,Wallis and Futuna,Oceania,11655,9377,142,81.493
ESH,Western Sahara,Africa,556048,76371,266000,2.1654
YEM,Yemen,Asia,32284046,6843607,527968,63.8232
ZMB,Zambia,Africa,18927715,4281671,752612,26.5976
ZWE,Zimbabwe,Africa,15669666,5202918,390757,41.7665
