A_YEAR, Q46 (Happiness),"Q260 (Gender, 1 Male, 2 Female)",Q262 (Age),"Q288 (Income Scale, 1 - Low, 10 - High)"
2018,2,1,57,-2
2018,2,2,41,6
2018,2,1,47,3
2018,2,1,37,4
2018,2,1,41,6
2018,2,1,28,8
2018,1,2,54,6
2018,1,2,40,6
2018,2,2,68,4
2018,2,1,33,4
2018,2,1,52,3
2018,2,2,57,5
2018,2,2,58,5
2018,2,1,20,-2
2018,2,2,32,-2
2018,2,1,73,-2
2018,2,2,40,6
2018,2,2,58,-2
2018,2,1,48,8
2018,2,1,48,5
2018,2,2,65,4
2018,2,1,40,6
2018,2,1,67,2
2018,2,1,48,7
2018,1,2,86,2
2018,3,2,55,3
2018,2,2,58,5
2018,2,2,80,3
2018,3,1,52,2
2018,3,2,54,4
2018,2,2,62,5
2018,2,2,34,4
2018,2,2,53,-2
2018,1,1,27,-2
2018,1,2,48,6
2018,2,2,23,6
2018,2,1,46,5
2018,2,1,56,5
2018,2,1,43,7
2018,1,1,48,3
2018,2,2,56,7
2018,1,2,37,10
2018,2,2,43,6
2018,2,1,83,2
2018,3,1,45,7
2018,2,2,24,5
2018,1,1,52,6
2018,1,2,27,6
2018,1,1,58,6
2018,2,1,59,4
2018,2,1,38,4
2018,2,1,62,6
2018,2,2,49,5
2018,1,1,40,5
2018,2,1,33,5
2018,2,1,52,3
2018,2,2,35,4
2018,2,1,35,4
2018,2,1,50,10
2018,1,2,30,8
2018,2,2,43,5
2018,2,1,49,5
2018,2,1,52,6
2018,2,1,47,5
2018,2,2,35,6
2018,2,2,70,7
2018,2,2,47,6
2018,1,1,35,7
2018,2,2,58,4
2018,1,1,72,5
2018,1,2,60,5
2018,1,2,30,7
2018,1,1,41,10
2018,1,2,85,8
2018,2,1,48,4
2018,2,1,20,7
2018,2,1,81,6
2018,2,1,45,6
2018,1,2,35,7
2018,1,1,39,5
2018,2,1,38,3
2018,2,1,33,-2
2018,2,2,37,5
2018,1,1,50,5
2018,2,2,58,6
2018,1,1,55,8
2018,2,2,57,7
2018,1,2,74,5
2018,1,1,38,7
2018,2,1,32,6
2018,2,2,57,5
2018,2,2,44,8
2018,1,2,22,7
2018,2,2,43,6
2018,2,2,55,-2
2018,2,1,46,8
2018,2,1,41,7
2018,2,1,42,5
2018,3,2,57,4
2018,2,1,46,8
2018,1,1,73,-2
2018,1,2,53,5
2018,2,2,77,4
2018,1,2,38,6
2018,2,1,63,4
2018,2,2,55,5
2018,2,2,71,5
2018,2,2,57,-2
2018,1,2,33,6
2018,2,2,45,6
2018,2,2,38,6
2018,3,2,23,9
2018,1,2,52,7
2018,2,2,18,8
2018,2,1,18,6
2018,2,1,66,6
2018,1,2,52,8
2018,1,1,87,2
2018,1,2,32,5
2018,2,1,78,7
2018,2,2,36,4
2018,2,1,48,4
2018,2,2,56,5
