Date,Year,Month,All causes,Poisoning,Motor vehicle,Falls,Choking (a),Drowning (b),"Fire, flames, or smoke",Mechanical suffocation,Natural heat or cold,Struck by or against,All other causes,Date
2019-09-01,2019,September,14341.0,5407.0,3543.0,3144.0,373.0,315.0,139.0,175.0,64.0,58.0,1123.0,2019-09-01
2019-10-01,2019,October,14822.0,5705.0,3506.0,3412.0,441.0,226.0,201.0,125.0,69.0,78.0,1059.0,2019-10-01
2019-11-01,2019,November,14701.0,5857.0,3274.0,3345.0,467.0,184.0,240.0,143.0,138.0,68.0,985.0,2019-11-01
2019-12-01,2019,December,15139.0,6007.0,3228.0,3540.0,462.0,166.0,318.0,146.0,155.0,67.0,1050.0,2019-12-01
2020-01-01,2020,January,14905.0,6114.0,2895.0,3553.0,441.0,172.0,323.0,156.0,157.0,72.0,1022.0,2020-01-01
2020-02-01,2020,February,14405.0,6002.0,2883.0,3260.0,426.0,185.0,299.0,148.0,165.0,62.0,975.0,2020-02-01
2020-03-01,2020,March,15318.0,6799.0,2850.0,3467.0,475.0,238.0,248.0,141.0,78.0,66.0,956.0,2020-03-01
2020-04-01,2020,April,15396.0,7572.0,2555.0,3100.0,383.0,240.0,268.0,150.0,50.0,77.0,1001.0,2020-04-01
2020-05-01,2020,May,18085.0,9013.0,3346.0,3384.0,388.0,476.0,207.0,156.0,60.0,80.0,975.0,2020-05-01
2020-06-01,2020,June,17650.0,7741.0,4004.0,3415.0,347.0,600.0,174.0,150.0,110.0,74.0,1035.0,2020-06-01
2020-07-01,2020,July,18604.0,8011.0,4078.0,3500.0,372.0,769.0,175.0,155.0,234.0,74.0,1236.0,2020-07-01
2020-08-01,2020,August,18513.0,7841.0,4199.0,3587.0,411.0,537.0,186.0,149.0,243.0,92.0,1268.0,2020-08-01
2020-09-01,2020,September,17030.0,7059.0,4053.0,3511.0,424.0,372.0,212.0,148.0,84.0,69.0,1098.0,2020-09-01
2020-10-01,2020,October,17061.0,6913.0,4169.0,3703.0,425.0,252.0,238.0,138.0,77.0,80.0,1066.0,2020-10-01
2020-11-01,2020,November,16583.0,6964.0,3757.0,3687.0,392.0,173.0,261.0,151.0,91.0,77.0,1030.0,2020-11-01
2020-12-01,2020,December,17405.0,7375.0,3550.0,3947.0,479.0,163.0,360.0,163.0,242.0,73.0,1053.0,2020-12-01
